Date,Open,High,Low,Close,Volume
7/5/2022,91.59,92.05,89.35,90.12,"1,626,112"
7/6/2022,90.66,93.28,89.9,91.91,"1,650,660"
7/7/2022,91.74,92.71,91.45,92.39,"680,272"
7/8/2022,91.99,92.9,91.67,92.54,"1,196,129"
7/11/2022,91.93,92.58,90.56,91.93,"875,926"
7/12/2022,91.92,93.23,90.15,90.44,"1,045,757"
7/13/2022,89.88,91.22,89.42,89.97,"856,001"
7/14/2022,89.48,90.52,89.33,90.22,"916,647"
7/15/2022,90.52,91.35,89.56,90.3,"906,385"
7/18/2022,90.34,91.32,90,90.04,"596,367"
7/19/2022,90.4,92.91,90.27,92.67,"1,137,966"
7/20/2022,93.35,93.53,92.14,93.04,"863,606"
7/21/2022,93.1,93.34,92.32,93.27,"587,744"
7/22/2022,93.85,94.61,93.39,94.27,"1,147,233"
7/25/2022,94.43,95.4,94.12,95.06,"1,422,988"
7/26/2022,94.68,95.32,94.2,95.15,"796,688"
7/27/2022,95.36,95.36,93.97,94.21,"787,671"
7/28/2022,94.56,96.1,93.74,95.64,"1,507,791"
7/29/2022,95.33,96.98,94.93,95.98,"1,572,839"
8/1/2022,96.24,97.93,95.74,95.8,"1,238,710"
8/2/2022,96.09,97,94.46,96.06,"1,157,017"
8/3/2022,96.47,96.96,95.21,96.21,"884,161"
8/4/2022,95.95,96.06,94.8,95.03,"788,135"
8/5/2022,94.39,95.12,94.04,95.03,"480,407"
8/8/2022,95.36,96,94.33,94.41,"508,404"
8/9/2022,95.17,96.59,94.5,95.76,"737,746"
8/10/2022,96.19,96.9,95.38,96.15,"620,317"
8/11/2022,96.1,96.59,94.42,94.76,"725,372"
8/12/2022,94.84,95.96,94.7,95.84,"409,496"
8/15/2022,95.74,98.33,95.25,98.2,"565,079"
8/16/2022,98.05,98.43,96.78,98.06,"1,284,584"
8/17/2022,97.96,98.58,97.74,98.14,"482,216"
8/18/2022,98.3,99.16,98.11,99.05,"601,934"
8/19/2022,98.82,99.22,98.41,99,"561,833"
8/22/2022,98.56,99.08,97.9,98.01,"542,368"
8/23/2022,98.05,98.33,97.33,97.84,"390,213"
8/24/2022,97.93,99.32,97.7,98.49,"833,970"
8/25/2022,98.73,98.83,97.38,98.35,"489,139"
8/26/2022,97.96,98.27,96.84,96.91,"584,411"
8/29/2022,96.15,96.39,95.1,95.66,"587,115"
8/30/2022,95.66,96.17,94.42,95.44,"877,515"
8/31/2022,95.71,96.73,95.41,95.7,"1,037,342"
9/1/2022,95.61,96.36,95.08,96.25,"1,305,346"
9/2/2022,96.76,96.92,94.96,95.13,"610,975"
9/6/2022,95.06,96.73,94.92,95.45,"525,212"
9/7/2022,95.74,97,95.11,96.75,"462,832"
9/8/2022,96.43,96.74,95.64,96.1,"479,842"
9/9/2022,96.66,97.72,96.02,97.51,"494,537"
9/12/2022,97.71,98.35,97.34,97.47,"622,944"
9/13/2022,96.62,96.82,94.52,95.02,"934,155"
9/14/2022,94.95,96.09,94.54,95.1,"897,266"
9/15/2022,94.28,94.71,92.14,92.49,"883,918"
9/16/2022,92.17,95.61,91.98,95.31,"2,048,804"
9/19/2022,94.66,96.29,94.25,96.04,"597,149"
9/20/2022,95.59,96.03,94.03,95.74,"613,029"
9/21/2022,96.7,97.98,95.09,95.09,"609,439"
9/22/2022,94.67,95.24,93.72,94.65,"694,896"
9/23/2022,94.19,94.25,91.85,93.29,"667,120"
9/26/2022,92.94,93.9,92.35,92.69,"681,726"
9/27/2022,93.34,93.62,91.3,92.15,"725,558"
9/28/2022,92.44,93.58,91.3,93.46,"1,097,539"
9/29/2022,93.17,93.25,91.44,92.18,"649,735"
9/30/2022,92.25,93.74,92.06,92.35,"1,027,804"
10/3/2022,93.08,96.61,92.81,95.97,"1,113,065"
10/4/2022,96.96,98.23,96.71,97.19,"814,007"
10/5/2022,96.94,98.5,96.69,97.66,"860,554"
10/6/2022,97.21,97.56,96.14,96.58,"546,827"
10/7/2022,96.07,97.3,95.41,97.24,"605,723"
10/10/2022,97.41,98.24,96.02,96.72,"554,802"
10/11/2022,96.46,97.44,95.42,96.49,"891,578"
10/12/2022,96.63,96.87,94.21,94.27,"705,485"
10/13/2022,93.12,96.66,92.84,96.14,"674,347"
10/14/2022,96.82,97.26,94.3,94.35,"528,735"
10/17/2022,95.36,96.92,95.15,96.43,"1,022,819"
10/18/2022,97.53,101.07,97.53,100.88,"1,462,103"
10/19/2022,99,99.65,97.72,98.62,"1,302,667"
10/20/2022,98.8,100.01,98.18,99.55,"1,320,890"
10/21/2022,99.54,101.41,98.1,101.03,"1,277,021"
10/24/2022,101.92,102.08,100.11,100.56,"1,161,404"
10/25/2022,100.34,101.71,99.93,101.48,"1,176,543"
10/26/2022,102.09,103.41,101.5,102.87,"1,325,880"
10/27/2022,103.28,105.06,103.28,103.61,"1,012,759"
10/28/2022,104.95,110.07,104.86,108.68,"1,628,182"
10/31/2022,107.97,109.63,107.25,108.85,"1,161,017"
11/1/2022,109,109.13,107.33,108.15,"1,146,366"
11/2/2022,108.11,109.93,107.82,108.52,"1,544,126"
11/3/2022,107.51,109.21,107.51,108.7,"1,037,449"
11/4/2022,108.8,108.9,104.57,106.83,"1,806,996"
11/7/2022,107,109.74,106.84,109.24,"1,181,456"
11/8/2022,109.16,110.94,109.1,110.35,"753,282"
11/9/2022,110.36,110.69,109.7,109.94,"1,238,294"
11/10/2022,112,112.55,110.15,111.28,"1,143,499"
11/11/2022,110.67,111.49,102.44,103.7,"2,307,818"
11/14/2022,103.43,107.01,103.07,105.35,"1,758,868"
11/15/2022,105.97,106.1,103.86,104.3,"1,542,058"
11/16/2022,104.52,107.36,104.49,106.71,"939,386"
11/17/2022,105.78,106.24,104.14,105.59,"1,060,620"
