Date,Open,High,Low,Close,Volume
4/16/2021,140.89,140.96,139.71,140.61,"8,829,461"
4/19/2021,140.29,140.57,139.61,139.71,"6,426,991"
4/20/2021,139.42,141.77,138.82,140.79,"8,150,659"
4/21/2021,140.77,141.7,140.53,141.2,"5,778,363"
4/22/2021,141.08,141.45,139.42,139.67,"6,568,371"
4/23/2021,139.1,140.34,139.03,139.9,"7,661,332"
4/26/2021,139.91,140,137.64,137.91,"7,615,411"
4/27/2021,138,138.95,137.55,138.38,"5,383,813"
4/28/2021,138.35,138.59,137.87,137.89,"4,762,196"
4/29/2021,137.9,140,137.9,139.63,"6,531,986"
4/30/2021,139.71,139.99,139.11,139.91,"6,560,007"
5/3/2021,139.68,142.74,139.68,142.12,"9,046,535"
5/4/2021,141.54,142.03,140.1,140.72,"6,361,357"
5/5/2021,140.71,141,140.3,140.6,"3,965,185"
5/6/2021,140,141.36,139.45,141.05,"5,433,952"
5/7/2021,141.63,141.72,139.32,140.2,"7,802,805"
5/10/2021,140.45,142.08,140.31,140.82,"8,769,245"
5/11/2021,140.87,140.87,138.32,139.55,"8,821,379"
5/12/2021,138.87,138.98,135.91,135.94,"8,666,144"
5/13/2021,136.23,138.98,135.76,138.24,"7,160,053"
5/14/2021,138.81,140.24,138.43,139.52,"5,363,895"
5/17/2021,140,140.4,138.77,138.89,"6,558,585"
5/18/2021,143.51,144.58,141.21,141.91,"19,394,559"
5/19/2021,140.71,143.72,140.5,141.92,"11,624,920"
5/20/2021,141.5,142.87,140.7,142.42,"10,180,251"
5/21/2021,142.52,143.08,141.6,141.75,"7,642,485"
5/24/2021,141.76,142.42,141.36,141.76,"6,315,316"
5/25/2021,141.8,142.64,141.07,142.34,"7,168,364"
5/26/2021,142.39,142.88,141.76,142.17,"6,431,370"
5/27/2021,143.35,143.68,141.69,141.69,"18,858,968"
5/28/2021,141.93,142.45,141.64,142.03,"7,063,303"
6/1/2021,142.21,142.8,141.27,141.66,"6,922,542"
6/2/2021,141.39,141.71,140.09,141.35,"7,765,993"
6/3/2021,141.39,141.85,140.75,141.6,"6,124,824"
6/4/2021,141.46,142.29,141.25,141.85,"4,545,272"
6/7/2021,141.85,141.97,140.39,140.9,"5,543,628"
6/8/2021,140.51,140.9,139.81,139.83,"6,706,856"
6/9/2021,139.34,140.01,139.03,139.08,"5,695,127"
6/10/2021,139.08,140.19,139.08,139.88,"5,459,459"
6/11/2021,140.23,140.85,139.86,140.75,"8,410,824"
6/14/2021,140.93,140.93,140.03,140.56,"5,046,896"
6/15/2021,140.84,140.91,139.66,140,"6,442,392"
6/16/2021,139.85,140.04,136.97,137.15,"9,598,343"
6/17/2021,137,138.35,136.71,137.72,"6,447,279"
6/18/2021,135.44,136.39,134.4,135.17,"14,937,577"
6/21/2021,135.66,136.75,135.35,136.4,"6,925,023"
6/22/2021,136.23,137.72,136.23,137.03,"6,368,954"
6/23/2021,136.5,136.99,135.93,135.96,"6,463,517"
6/24/2021,136.17,137.24,136.1,136.91,"7,814,653"
6/25/2021,137.13,138.86,136.92,138.53,"9,546,936"
6/28/2021,138.04,138.64,136.6,138.1,"5,183,022"
6/29/2021,137.9,138.47,137.23,137.3,"11,987,485"
6/30/2021,139.56,142.58,138.69,141.02,"15,170,351"
7/1/2021,140.41,141.25,139.01,139.32,"8,782,850"
7/2/2021,139.35,141.08,139.35,140.11,"8,762,569"
7/6/2021,139.9,140.75,139.51,139.94,"6,093,058"
7/7/2021,139.76,141.19,139.36,139.71,"8,535,819"
7/8/2021,138.34,140.65,138.22,139.59,"7,089,047"
7/9/2021,140.41,140.84,139.93,140.3,"5,061,763"
7/12/2021,140.69,140.79,139.33,140.05,"6,504,976"
7/13/2021,139.99,141.18,139.94,140.58,"6,315,868"
7/14/2021,140.71,141.8,139.83,141.55,"6,270,671"
7/15/2021,142,142.64,141.09,141.66,"5,991,612"
7/16/2021,141.7,142.13,140.95,141.56,"6,031,805"
7/19/2021,141.41,142.98,139.77,141.23,"9,127,720"
7/20/2021,140.97,142.47,140.78,141.87,"6,340,100"
7/21/2021,142.5,142.54,140.71,141.17,"6,197,299"
7/22/2021,141.13,142.12,140.8,141.27,"4,337,765"
7/23/2021,141.52,142.72,141.01,142.43,"5,315,836"
7/26/2021,142.36,143.86,141.46,142.63,"6,172,445"
7/27/2021,143,143,141.96,142.64,"5,131,905"
7/28/2021,142.48,143.25,141.66,142.06,"4,690,487"
7/29/2021,142.64,142.85,142.02,142.24,"3,687,689"
7/30/2021,141.2,142.96,141.2,142.55,"5,444,061"
8/2/2021,142.83,142.87,141.67,142.22,"6,652,841"
8/3/2021,142.44,143.9,142.36,143.82,"6,305,118"
8/4/2021,143.38,143.94,142.74,142.84,"5,100,528"
8/5/2021,144.23,145.54,143.99,145.49,"9,001,814"
8/6/2021,146.21,146.47,144.95,145.23,"6,421,230"
8/9/2021,145.91,146.48,145.4,145.58,"5,270,591"
8/10/2021,146.97,148.95,146.25,148.68,"12,754,045"
8/11/2021,149.51,151.58,149.16,150.01,"13,818,560"
8/12/2021,149,150.21,148.81,149.06,"6,092,424"
8/13/2021,149.38,150.36,149.16,149.53,"5,327,070"
8/16/2021,149.68,151.73,149.04,150.75,"15,975,648"
8/17/2021,150.4,152.5,149.1,150.7,"16,983,362"
8/18/2021,150.55,152.57,149.02,149.1,"9,403,945"
8/19/2021,148.33,150.66,148,150.11,"7,543,457"
8/20/2021,150.48,151.72,149.75,151.45,"6,466,796"
8/23/2021,151.53,151.79,150.41,150.45,"5,388,696"
8/24/2021,150.5,150.5,148.7,148.9,"6,276,273"
8/25/2021,148.41,149.28,148.03,148.96,"7,307,055"
8/26/2021,147.47,148.27,146.67,147.35,"7,822,284"
8/27/2021,147.51,147.69,146.18,146.52,"7,696,152"
8/30/2021,146.42,148,146.02,147.7,"5,480,212"
8/31/2021,147.99,148.44,147.24,148.1,"8,359,517"
9/1/2021,147.56,147.93,146.57,147.78,"6,352,226"
9/2/2021,148.12,148.79,147.69,148.56,"6,674,064"
9/3/2021,148.2,149.65,147.9,149.25,"5,737,903"
9/7/2021,148.97,149.17,147.06,147.27,"8,451,983"
9/8/2021,146.95,148.32,146.73,147.46,"6,502,784"
9/9/2021,147.46,147.61,145.84,146.42,"7,442,869"
9/10/2021,147.2,147.24,145.43,145.89,"5,258,401"
9/13/2021,146.52,147.15,144.64,145.06,"6,509,765"
